Asset Name,Lat,Long,Business Category,Risk Factors,Year,Risk Rating
"Mcknight, Beasley and Stewart",46.51190,-58.97834,Energy,"{""Earthquake"": 0.06}","2,050",0.06
Acevedo-Kennedy,50.37277,-117.97933,Technology,"{""Extreme heat"": 0.01, ""Wildfire"": 0.04, ""Tornado"": 0.03, ""Flooding"": 0.02, ""Volcano"": 0.01, ""Hurricane"": 0.02, ""Earthquake"": 0.01}","2,050",0.14
Ware PLC,45.82870,-73.48507,Retail,"{""Hurricane"": 0.02, ""Extreme heat"": 0.03, ""Tornado"": 0.06, ""Wildfire"": 0.02, ""Flooding"": 0.05, ""Drought"": 0.02, ""Volcano"": 0.06, ""Extreme cold"": 0.05, ""Earthquake"": 0.04, ""Sea level rise"": 0.01}","2,030",0.36
Jones Ltd,42.97925,-79.60215,Manufacturing,"{""Drought"": 0.69}","2,060",0.69
Willis-Newman,54.32356,-112.40886,Energy,"{""Extreme heat"": 0.03, ""Drought"": 0.0, ""Sea level rise"": 0.05, ""Earthquake"": 0.06, ""Flooding"": 0.07, ""Wildfire"": 0.09, ""Hurricane"": 0.07, ""Extreme cold"": 0.09}","2,050",0.46
"Bender, Warren and Sanchez",46.24845,-72.79063,Healthcare,"{""Earthquake"": 0.06999999999999999, ""Sea level rise"": 0.06, ""Tornado"": 0.05, ""Drought"": 0.1, ""Wildfire"": 0.15, ""Extreme cold"": 0.04, ""Extreme heat"": 0.06, ""Volcano"": 0.11, ""Hurricane"": 0.03}","2,070",0.67
Johnson and Sons,43.88406,-78.90649,Manufacturing,"{""Sea level rise"": 0.07, ""Wildfire"": 0.1, ""Hurricane"": 0.31}","2,030",0.48
"Mejia, Roberts and Gay",47.26240,-59.04531,Energy,"{""Volcano"": 0.0, ""Hurricane"": 0.0, ""Drought"": 0.0, ""Tornado"": 0.01, ""Extreme heat"": 0.01}","2,050",0.02
Flynn-Anderson,46.52465,-72.15769,Finance,"{""Extreme heat"": 0.56, ""Hurricane"": 0.04}","2,030",0.60
Thomas-Chavez,43.96438,-79.85553,Finance,"{""Earthquake"": 0.04, ""Tornado"": 0.13, ""Drought"": 0.11, ""Flooding"": 0.08, ""Extreme cold"": 0.08, ""Sea level rise"": 0.04, ""Wildfire"": 0.08, ""Extreme heat"": 0.14, ""Volcano"": 0.15}","2,050",0.85
Reid PLC,46.11529,-73.21750,Energy,"{""Volcano"": 0.23, ""Drought"": 0.09, ""Hurricane"": 0.06, ""Extreme heat"": 0.06, ""Wildfire"": 0.14, ""Tornado"": 0.03}","2,060",0.61
"Hall, Meadows and Anderson",47.50837,-58.86575,Technology,"{""Tornado"": 0.15, ""Flooding"": 0.03}","2,070",0.18
Miller-Norris,51.64873,-118.28266,Energy,"{""Extreme cold"": 0.05, ""Volcano"": 0.1, ""Earthquake"": 0.06, ""Hurricane"": 0.11, ""Tornado"": 0.12, ""Sea level rise"": 0.04, ""Extreme heat"": 0.05, ""Drought"": 0.09, ""Wildfire"": 0.14}","2,070",0.76
"Landry, Molina and Green",42.84598,-79.77035,Manufacturing,"{""Tornado"": 0.02, ""Extreme heat"": 0.03, ""Sea level rise"": 0.0, ""Earthquake"": 0.04, ""Hurricane"": 0.03, ""Extreme cold"": 0.03, ""Volcano"": 0.03, ""Flooding"": 0.0}","2,060",0.18
Jones Ltd,46.78186,-72.99116,Technology,"{""Drought"": 0.09, ""Volcano"": 0.11, ""Extreme cold"": 0.03, ""Extreme heat"": 0.07, ""Flooding"": 0.09, ""Sea level rise"": 0.1, ""Hurricane"": 0.11, ""Earthquake"": 0.0, ""Tornado"": 0.07}","2,050",0.67
Banks-Carlson,54.20144,-113.04336,Technology,"{""Volcano"": 0.12, ""Flooding"": 0.1, ""Earthquake"": 0.08}","2,040",0.30
Acevedo-Kennedy,44.93379,-79.16998,Energy,"{""Earthquake"": 0.02, ""Sea level rise"": 0.01, ""Extreme cold"": 0.02}","2,060",0.05
"Taylor, Mitchell and Ward",47.02207,-62.38156,Technology,"{""Flooding"": 0.0, ""Tornado"": 0.01, ""Extreme heat"": 0.01, ""Hurricane"": 0.0, ""Sea level rise"": 0.01, ""Extreme cold"": 0.01, ""Wildfire"": 0.0, ""Drought"": 0.01}","2,050",0.05
